"lang"
{
	"Language"	"schinese"
	"Tokens"
	{
		"cavern_game_info_tombstone_header"	"墓碑"
		"[english]cavern_game_info_tombstone_header"	"Tombstones"
		"cavern_game_info_tombstone"	"墓碑可用于复活队友或淘汰敌人。"
		"[english]cavern_game_info_tombstone"	"Tombstones can be used to revive teammates or eliminate enemies."
		"DOTA_Tooltip_ability_item_tombstone"	"复活队友"
		"[english]DOTA_Tooltip_ability_item_tombstone"	"Resurrect Teammate"
		"DOTA_Tooltip_ForEnemy_ability_item_tombstone"	"消灭玩家"
		"[english]DOTA_Tooltip_ForEnemy_ability_item_tombstone"	"Eliminate Player"
		"DOTA_Chat_Tombstone_Pinged"	"有队友在这里阵亡。"
		"[english]DOTA_Chat_Tombstone_Pinged"	"Fallen teammate here."
		"DOTA_Tooltip_ability_item_tombstone_radiant"							"天辉"
		"DOTA_Tooltip_ability_item_tombstone_dire"								"夜魇"

		"random_unlimited"											"无限随机"
		"random_unlimited_description"								"解锁无限使用智能随机按钮！"

		"cosmetics_box"												"化妆品盒"
		"cosmetics_box_description"									"使用修饰能力，为您的英雄，守卫，信使或宠物增加21种效果之一，当您杀死并选择宠物时会产生效果"

		"unlimited_chat_wheel"										"无限聊天轮"
		"unlimited_chat_wheel_description"							"无限使用聊天转盘（L）"

		"instant_transfer"											"即时项目转移"
		"instant_transfer_description"								"随时随地将物品转移给玩家"

		"immune_kick_troll"											"踢巨魔免疫"
		"immune_kick_troll_description"								"对踢巨魔免疫"
		"cannotkickotherpatreons"					               	"你无法将付费用户踢出游戏"

		"kick_troll"												"踢巨魔"
		"kick_troll_description"									"踢巨魔！ 有权访问拖钓的踢出盟友（警告：该特权会从发现正在滥用的支持者中移除）"

		"high_tier_supporter_perk"									"仅限高级支持者（200¥）功能"
		"available_perk"											"可用的"

		"not_supporter"												"不支持您"
		"standard_tier_supporter"									"您是标准层支持者"
		"high_tier_supporter"										"您是高级支持者"
		"thanks_for_supporting"										"感谢您支持我们！"

		"DOTA_Tooltip_ability_special_bonus_unique_mirana_4"		"-20秒 月之暗面冷却"

		"neutral_item_keep"											"保持"
		"neutral_item_drop"											"落基"
		"neutral_item_take"											"采取"
		"neutral_item_took"											"拿"

		"cosemtics_header_abilities"								"技能"
		"cosemtics_header_effects"									"效果"
		"cosemtics_header_kill_effects"								"击杀效果"
		"cosemtics_header_pets"										"宠物"

		"cosmetics_save_settings"									"保存设置"

		"cosemtics_effects_header_hero"								"英雄"
		"cosemtics_effects_header_pet"								"宠物"
		"cosemtics_effects_header_courier"							"信使"
		"cosemtics_effects_header_wards"							"守卫"

		"cosmetics_kill_effect_firework"							"烟火"
		"cosmetics_kill_effect_tombstone"							"墓碑"
		"cosmetics_kill_effect_incineration"						"焚化"
		"cosmetics_kill_effect_halloween"							"万圣节"
		
		//TODO: translate "Use" and error
		"DOTA_Tooltip_ability_item_patreon_1"						"猪年气球"
		"DOTA_Tooltip_ability_item_patreon_1_Description"			"<h1>使用</h1>吹出一个可爱又有弹性的芳晓气球。"
		"DOTA_Tooltip_ability_item_patreon_1_Lore"					"他最爱吃白日梦。"
		"DOTA_Tooltip_ability_item_patreon_2"						"舞狮"
		"DOTA_Tooltip_ability_item_patreon_2_Description"			"<h1>使用</h1>召唤一头快乐活泼的狮子，陪伴你和你的盟友。"
		"DOTA_Tooltip_ability_item_patreon_2_Lore"					"做好这些动作需要大量的练习。"
		"DOTA_Tooltip_ability_item_patreon_3"						"树木装饰"
		"DOTA_Tooltip_ability_item_patreon_3_Description"			"<h1>使用</h1>给任意树木加上一丝欢快的节日气氛。"
		"DOTA_Tooltip_ability_item_patreon_3_Lore"					"节日的装束, 即使是战场上最血腥的斗士也会喜欢。"
		"DOTA_Tooltip_ability_item_patreon_4"						"鞭炮"
		"DOTA_Tooltip_ability_item_patreon_4_Description"			"<h1>使用</h1>扔串鞭炮。真的，快扔！"
		"DOTA_Tooltip_ability_item_patreon_4_Lore"					"没有比爆炸更喜庆的了！"
		"DOTA_Tooltip_ability_item_patreon_5"						"投掷雪球"
		"DOTA_Tooltip_ability_item_patreon_5_Description"			"<h1>使用</h1>向一名友军或敌人投掷雪球。"
		"DOTA_Tooltip_ability_item_patreon_5_Lore"					"纯手工打造，温度完美。"
		"DOTA_Tooltip_ability_item_patreon_6"						"召唤雪人"
		"DOTA_Tooltip_ability_item_patreon_6_Description"			"<h1>使用</h1>召唤一个欢乐的雪人。"
		"DOTA_Tooltip_ability_item_patreon_6_Lore"					"只要可以，他会一直做你的朋友。"
		"DOTA_Tooltip_ability_item_patreon_7"						"装饰树木"
		"DOTA_Tooltip_ability_item_patreon_7_Description"			"<h1>使用</h1>给任意树木加上一丝欢快的节日气氛。"
		"DOTA_Tooltip_ability_item_patreon_7_Lore"					"节日的装束, 即使是战场上最血腥的斗士也会喜欢。"
		"DOTA_Tooltip_ability_item_patreon_8"						"节日烟花"
		"DOTA_Tooltip_ability_item_patreon_8_Description"			"<h1>使用</h1>将烟花射向半空。"
		"DOTA_Tooltip_ability_item_patreon_8_Lore"					"没有比爆炸更喜庆的了！"
		"DOTA_Tooltip_ability_item_patreonbundle_1"						"2019年芳晓佳节消耗品捆绑包"
		"DOTA_Tooltip_ability_item_patreonbundle_1_Description"			"<h1>使用</h1>包含一整套芳晓佳节消耗品，可用于普通Dota比赛。"
		"DOTA_Tooltip_ability_item_patreonbundle_2"						"凌霜圣地消耗品捆绑包"
		"DOTA_Tooltip_ability_item_patreonbundle_2_Description"			"<h1>使用</h1>包含一整套可以用于普通Dota和凌霜圣地特殊活动的消耗品。"
		
		"nopatreonerror"											"仅适用于Patreon支持者"
		"nopatreonerror2"											"此项目仅适用于高级支持者（25美元）"
		"notyettime"												"在头5分钟内尚无法剔除不良玩家"

		"block_spawn_error"												"无法阻止你的团队的中立阵营"

		"our_thanks_and_appreciation"                "致敬与感谢"
        "our_thanks_and_appreciation_description"    "我们对所有游玩本项目并支持我们的玩家表示感谢"

        "supporter_perks_low"                        "支持者Perk"
        "supporter_perks_low_description"            "支持者将比普通个人Perk享有更优功能"

        "first_pick_low"                            "首先选择英雄"
        "first_pick_low_description"                "你可在其他玩家之前选择英雄"

        "first_pick_high"                            "甚至在支持者之前选择英雄"
        "first_pick_high_description"                "你可在其他玩家，甚至是支持者之前选择英雄"

        "supporter_perks_high"                        "高级支持者Perk"
        "supporter_perks_high_description"            "高级支持者将比普通个人支持者Perk享有更优功能"

		"dropped_wards_return_error"									"被丢弃在地面的哨岗守卫会被传送回泉水。"

		"new_stat_gpm"												"每分钟黄金"
		"new_stat_total_damage"										"总伤害"
		"new_stat_total_healing"									"总回血"
		"new_stat_tower_damage"										"建筑伤害"
		"new_stat_networth"											"总资产"
		"new_stat_wards"											"哨岗守卫/侦察守卫"
		"new_stat_killed_heroes"									"击杀敌人"

		"DOTA_Tooltip_ability_item_banhammer"						"踢不良玩家"
		"DOTA_Tooltip_ability_item_banhammer_Description"            "<h1>使用：发起踢人投票</h1>发起从游戏中踢出钓鱼玩家的投票。仅可在确实存在钓鱼现象时使用。支持者可免疫钓鱼踢出物品的影响。"
		"DOTA_Tooltip_ability_item_banhammer_Lore"					"拥有权利也是一项重大责任。"

		"DOTA_Tooltip_ability_item_patreon_mango"                        "感恩芒果之心"
        "DOTA_Tooltip_ability_item_patreon_mango_Description"            "为了更平衡的考虑和更好的游戏性。我们决定将赞助者开局的鞋子移除，希望您不要太悲伤。我们真诚的再次感谢您对本地图的支持和赞助，请收下这个芒果作为我们的感恩之心." 
        "DOTA_Tooltip_ability_item_patreon_mango_Lore"                    "如果你赞助了一位贫穷的艺术家，那么你自己也变成了艺术家. 因为你们共同的努力，让这个想象中的世界变得更美好了."
		
		"DOTA_Tooltip_modifier_silencer_new_int_steal"					"所窃取智力"
		"DOTA_Tooltip_modifier_silencer_new_int_steal_Description"		"沉默术士在完成击杀或者辅助击杀后会偷取目标智力."

		"DOTA_Tooltip_modifier_troll_feed_token_couter"					"不良玩家恶意送人头计数代币"
		"DOTA_Tooltip_modifier_troll_debuff_stop_feed"					"送人头惩罚"
		"DOTA_Tooltip_modifier_troll_debuff_stop_feed_Description"		"你已被系统判定为恶意送人头。作为惩罚，你会获得时长10分钟的减益效果，且在10分钟内你的每次死亡都会使该减益效果延长1分钟。减益效果生效内，系统将判定你的死亡为友方被反补，并且你的重生时间将被延长至2.5倍。若2.5倍的重生时间少于60秒，则重生时间按60秒计算。"
		"anti_feed_system_add_debuff_message"		                    "%s1 一名玩家被判定为恶意送人头。该玩家在随后十分钟内重生时间会被延长2.5倍，并且其死亡会被记作反补。."

